train_dataset,test_dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,runs
A,A,0.7712654042681093,0.011346309641224437,0.8058153413286869,0.012089159016684418,0.8617553433378808,0.006151773196211342,0.8328106744863518,0.007278199634317347,3
A,D,0.694619777577397,0.009891483421643787,0.7911363375759661,0.008465291651806423,0.7312414733969986,0.02592087312414737,0.7597756954654202,0.011917567023019101,3
B,B,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3
B,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
B,D,0.5305079651337542,0.008081953507513576,0.6554019765586535,0.002107623518956252,0.6107321509777172,0.019691346152442866,0.6321889342835204,0.011590105992378908,3
D,C,0.7718665464382326,0.022650778515925098,0.7925510846354872,0.012252405038390136,0.8872214643019554,0.03957127770406017,0.8369198570392739,0.019173768556907667,3
D,D,0.7685602645025549,0.011202071027102033,0.7979033782001359,0.01033201281350819,0.8703956343792633,0.008298448199588238,0.8325481914663201,0.007598595356503353,3
